Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Neither Agree or Disagree	No Opinion	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Other	Agree Somewhat	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id98073	
Disagree Strongly	Agree Strongly	Other	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	No Opinion	Disagree Somewhat	Disagree Somewhat	0	1	1	1	0	1	0	1	1	0	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id30356	
No Opinion	Agree Strongly	Not App	Agree Somewhat	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Disagree Strongly	0	1	1	1	0	1	0	1	1	0	No Opinion	Agree Somewhat	Blacklist	Agree Strongly	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	Disagree Somewhat	No Opinion	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id96844	
Disagree Strongly	Agree Somewhat	Reply	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	0	1	0	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1		0	1	0	0	1	0	Go!	id97533	
Disagree Strongly	Agree Strongly	Not App	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	Neither Agree or Disagree	0	0	0	1	1	1	0	1	0	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	0	0	0	Go!	id92867	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Don't Know	Agree Strongly	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id97545	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Strongly	0	1	0	0	0	1	0	0	0	1	Disagree Strongly	Disagree Somewhat	Registry	Agree Strongly	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	0	0	0	0	0	Go!	id96392	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Other	Agree Somewhat	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id97602	
Disagree Strongly	No Opinion	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	1	0	0	1	0	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id97583	
Disagree Strongly	Neither Agree or Disagree	Not App	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Strongly	No Opinion	Disagree Strongly	1	1	1	1	1	1	0	0	1	1	Disagree Somewhat	No Opinion	Registry	Agree Strongly	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	1	0	0	0	1	0	0	1	0	Go!	id97586	
Disagree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	1	1		1	1	0	1	1	1	Go!	id6080	
Agree Somewhat	Disagree Somewhat	Not App	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	No Opinion	0	1	0	1	0	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Somewhat	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	0	0	0	1	0	Go!	id90676	
Neither Agree or Disagree	No Opinion	Read	Agree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	0	1	0	1	0	1	0	0	1	0	Neither Agree or Disagree	Agree Somewhat	Don't Know	Agree Somewhat	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	0	0	1	0	0	1	0	Go!	id94832	
Disagree Strongly	Agree Strongly	Other	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	0	Go!	id27379	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	No Opinion	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Disagree Somewhat	Registry	Agree Somewhat	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	0	1	1	0	0	1	0	Go!	id99707	
Disagree Somewhat	Agree Somewhat	Not App	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	0	0	1	0	0	1	1	No Opinion	Agree Somewhat	Don't Know	Agree Somewhat	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	0	0	1	Go!	id97629	
Disagree Strongly	Disagree Somewhat	Not App	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	0	1	0	1	0	0	0	0	0	0	Disagree Somewhat	Neither Agree or Disagree	Nothing	Agree Strongly	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	0	0	Go!	id98115	
Disagree Strongly	Agree Somewhat	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	Disagree Strongly	Registry	Disagree Somewhat	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	1	0	0	1	0	0	1	0	Go!	id99184	
Neither Agree or Disagree	Agree Somewhat	Delete	Disagree Somewhat	Neither Agree or Disagree	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Nothing	Agree Strongly	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id96922	
Neither Agree or Disagree	Neither Agree or Disagree	Read	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	No Opinion	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Agree Strongly	Registry	Agree Strongly	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	Agree Somewhat	Disagree Strongly	Agree Strongly	0	1	1	0	0	0	0	0	0	1	0	Go!	id98853	
Disagree Somewhat	Neither Agree or Disagree	Not App	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	0	0	1	0	1	0	0	1	0	No Opinion	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	Disagree Somewhat	No Opinion	Agree Strongly	0	0	1	0	0	1	1	1	0	1	1	Go!	id96906	
Agree Somewhat	Agree Somewhat	Other	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	1	1	1	0	0	1	1	Disagree Somewhat	Agree Somewhat	Blacklist	Agree Somewhat	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	Agree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id97342	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	0	1	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id49720	
Disagree Strongly	Agree Strongly	Reply	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id98183	
Disagree Strongly	Agree Strongly	Delete	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	1	0	0	1	1	1	1	1	Go!	id94918	
Disagree Strongly	Agree Strongly	Reply	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id96928	
Neither Agree or Disagree	No Opinion	Not App	Agree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	No Opinion	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Registry	No Opinion	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id96341	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	0	0	1	1	0	1	0	0	1	0	Disagree Somewhat	Disagree Somewhat	Registry	Agree Strongly	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	1	0	0	0	0	0	1	0	Go!	id97501	
Disagree Somewhat	Neither Agree or Disagree	Read	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	Disagree Somewhat	0	1	1	1	1	1	1	1	1	1	Disagree Somewhat	Neither Agree or Disagree	Blacklist	Agree Somewhat	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	0	1	1	1	1	1	1	Go!	id99434	
No Opinion	No Opinion	Not App	Agree Somewhat	No Opinion	Agree Somewhat	No Opinion	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Agree Somewhat	No Opinion	Other	Agree Strongly	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	Agree Somewhat	No Opinion	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id97655	
Agree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Somewhat	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	0	1	0	1	0	0	1	0	1	0	0	Go!	id93133	
Disagree Somewhat	Agree Somewhat	Delete	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	1	1	0	1	0	1	1	0	Disagree Somewhat	Disagree Strongly	Nothing	Agree Somewhat	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	0	1	1	1	0	0	1	0	1	1	0	Go!	id96939	
Disagree Somewhat	Agree Somewhat	Not App	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	No Opinion	0	1	1	1	1	1	0	1	1	1	No Opinion	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	1	0	0	1	0	Go!	id91756	
No Opinion	Neither Agree or Disagree	Not App	Agree Strongly	Agree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	No Opinion	0	1	1	1	0	0	0	0	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	Agree Somewhat	Disagree Somewhat	Agree Strongly	0	1	1	1	0	0	0	0	0	1	1	Go!	id94100	
Disagree Strongly	Agree Somewhat	Read	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	0	1	1	0	0	1	0	0	1	1	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id96463	
Agree Somewhat	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	1	1	0	0	1	0	0	1	1	Go!	id99051	
Disagree Strongly	Agree Strongly	Delete	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Disagree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id70965	
Disagree Somewhat	Neither Agree or Disagree	Not App	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	0	0	0	0	0	1	0	0	1	0	Neither Agree or Disagree	Agree Somewhat	Other	Agree Strongly	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id96962	
Disagree Strongly	No Opinion	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	No Opinion	0	1	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id99884	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	1	0	0	1	0	1	Disagree Strongly	Disagree Strongly	Registry	Agree Strongly	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	0	0	Go!	id97677	
Disagree Strongly	Agree Somewhat	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0		1	1	0	1	1	1	Go!	id96395	
Disagree Strongly	Agree Strongly	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id94127	
Disagree Strongly	No Opinion	Read	No Opinion	Disagree Somewhat	No Opinion	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	1	1	0	0	1	1	Agree Somewhat	No Opinion	Blacklist	Agree Strongly	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id95628	
Disagree Strongly	Disagree Somewhat	Delete	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Other	Agree Strongly	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	Disagree Strongly	Disagree Somewhat	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	0	Go!	id96235	
Disagree Somewhat	Neither Agree or Disagree	Delete	No Opinion	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	0	0	0	0	1	0	0	0	0	Go!	id96961	
Disagree Somewhat	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Strongly	Disagree Strongly	0	0	0	0	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id92032	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	1	0	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Other	Agree Somewhat	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	1	0	0	0		0	0	0	0	0	0	Go!	id93546	
Disagree Strongly	Agree Strongly	Reply	No Opinion	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id96635	
Disagree Strongly	Agree Somewhat	Reply	Disagree Somewhat	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	Agree Somewhat	1	1	0	0	0	0	0	0	1	0	Disagree Strongly	Agree Strongly	Registry	Neither Agree or Disagree	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	1	0	Go!	id98420	
Neither Agree or Disagree	Agree Strongly	Delete	Disagree Strongly	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	0	0	0	1	0	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97910	
No Opinion	Agree Somewhat	Not App	No Opinion	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	No Opinion	Agree Somewhat	Impact Fee	Agree Somewhat	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id95870	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	Agree Somewhat	Agree Strongly	Impact Fee	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id97762	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	No Opinion	Agree Somewhat	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Registry	Agree Somewhat	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id97763	
Disagree Strongly	Agree Somewhat	Read	No Opinion	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	No Opinion	Other	Neither Agree or Disagree	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	1	1	1	0	0	1	1	0	0	1	1	Go!	id96547	
Disagree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Blacklist	Agree Strongly	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97795	
Disagree Strongly	No Opinion	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	No Opinion	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id98921	
Disagree Strongly	Disagree Somewhat	Other	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Disagree Strongly	Blacklist	Agree Somewhat	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	1	1	0	0	0	0	0	0	0	0	0	Go!	id96980	
Disagree Strongly	Agree Strongly	Read	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Disagree Strongly	1	1	1	1	1	1	1	0	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	1	1	Go!	id96987	
Disagree Strongly	Neither Agree or Disagree	Retaliate	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Disagree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Agree Somewhat	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	1	0	1	1	0	0	1	1	Go!	id85973	
